UNIQUE ID,REFERENCE NAME,HGNC ID,EntrezGene official name (Human),EntrezGeneID (Human),EntrezGene Symbol (Human),EntrezGene Aliases (Human),EntrezGene Additional Names (Human),MGI ID,EntrezGeneofficial name (Mouse),EntrezGeneID (Mouse),EntrezGene Symbol (Mouse),EntrezGene Aliases (Mouse),EntrezGene Additional Names (Mouse),UniProtDB ID (Human),UniProt protein name (Human),UniProt protein alternative names (Human),UniProtID (Mouse),UniProt protein name (Mouse),UniProt protein alternative names (Mouse),MeSH ID,MeSH Name,Typographical variations,Shen-Orr ID,IX Synonyms,Protein Ontology ID,Protein Ontology name,Protein Ontology synonyms,Protein Ontology URL,OMIM ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_235,Apo3,HGNC:11910,"tumor necrosis factor receptor superfamily, member 25",8718,TNFRSF25,RP4-650H14.2;APO-3;DDR3;DR3;LARD;TNFRSF12;TR3;TRAMP;WSL-1;WSL-LR;,"apoptosis inducing receptor;apoptosis-inducing receptor AIR;apoptosis-mediating receptor DR3;apoptosis-mediating receptor TRAMP;death domain receptor 3 soluble form;death receptor beta;lymphocyte-associated receptor of death;protein WSL-1;tumor necrosis factor receptor superfamily member 25;tumor necrosis factor receptor superfamily, member 12 (translocating chain-association membrane protein);",MGI:1934667,"tumor necrosis factor receptor superfamily, member 25",85030,Tnfrsf25,RP23-284C20.2;APO-3;DDR3;DR3;LARD;TR3;TRAMP;Tnfrsf12;WSL-1;WSL-LR;Wsl;,"tumor necrosis factor receptor superfamily member 25;tumor necrosis factor receptor superfamily, member 12;",TNR25_HUMAN,Tumor necrosis factor receptor superfamily member 25,Apo-3;Apoptosis-inducing receptor AIR;Apoptosis-mediating receptor DR3;Apoptosis-mediating receptor TRAMP;Death receptor 3;Lymphocyte-associated receptor of death;LARD;Protein WSL;Protein WSL-1;,Q8VD70_MOUSE,,,,,,,,PR:000016485,tumor necrosis factor receptor superfamily member 25,APO3;DDR3;DR3;LARD;TNFRSF12;TNFRSF25;WSL;WSL1;apo-3;apoptosis-inducing receptor AIR;apoptosis-mediating receptor DR3;apoptosis-mediating receptor TRAMP;death receptor 3;lymphocyte-associated receptor of death;protein WSL;protein WSL-1;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000016485,603366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_236,HVEM,HGNC:11912,"tumor necrosis factor receptor superfamily, member 14",8764,TNFRSF14,RP3-395M20.6;ATAR;CD270;HVEA;HVEM;LIGHTR;TR2;,"CD40-like protein;herpes virus entry mediator A;herpesvirus entry mediator A;tumor necrosis factor receptor superfamily member 14;tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator);tumor necrosis factor receptor-like 2;tumor necrosis factor receptor-like gene2;",MGI:2675303,"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)",230979,Tnfrsf14,RP24-89N4.1;Atar;HveA;Hvem;Tnfrs14;,herpes virus entry mediator;tumor necrosis factor receptor superfamily member 14;,TNR14_HUMAN,Tumor necrosis factor receptor superfamily member 14,Herpes virus entry mediator A;Herpesvirus entry mediator A;HveA;Tumor necrosis factor receptor-like 2;TR2;,Q80WM9_MOUSE,,,,,,,,PR:000016481,tumor necrosis factor receptor superfamily member 14,herpesvirus entry mediator A;HVEM;tumor necrosis factor receptor-like 2;HveA;CD270;TNFRSF14;TR2;herpes virus entry mediator A;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000016481,602746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_237,GITR,HGNC:11914,"tumor necrosis factor receptor superfamily, member 18",8784,TNFRSF18,RP5-902P8.2;AITR;CD357;GITR;GITR-D;,TNF receptor superfamily activation-inducible protein;activation-inducible TNFR family receptor;glucocorticoid-induced TNFR-related protein;tumor necrosis factor receptor superfamily member 18;,MGI:894675,"tumor necrosis factor receptor superfamily, member 18",21936,Tnfrsf18,RP23-118E21.6;AITR;Gitr;,glucocorticoid-induced TNFR-related protein;tumor necrosis factor receptor superfamily member 18;,TNR18_HUMAN,Tumor necrosis factor receptor superfamily member 18,Activation-inducible TNFR family receptor;Glucocorticoid-induced TNFR-related protein;,TNR18_MOUSE,Tumor necrosis factor receptor superfamily member 18,Glucocorticoid-induced TNFR-related protein;,,,,,,PR:000016482,tumor necrosis factor receptor superfamily member 18,AITR;GITR;TNFRSF18;CD357;glucocorticoid-induced TNFR-related protein;activation-inducible TNFR family receptor;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000016482,603905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_238,RANK,HGNC:11908,"tumor necrosis factor receptor superfamily, member 11a, NFKB activator",8792,TNFRSF11A,CD265;FEO;LOH18CR1;ODFR;OFE;OPTB7;OSTS;PDB2;RANK;TRANCER;,"Paget disease of bone 2;loss of heterozygosity, 18, chromosomal region 1;osteoclast differentiation factor receptor;receptor activator of NF-KB;receptor activator of nuclear factor-kappa B;tumor necrosis factor receptor superfamily member 11A;",MGI:1314891,"tumor necrosis factor receptor superfamily, member 11a",21934,Tnfrsf11a,Ly109;ODFR;OFE;Rank;TRANCE-R;mRANK;,osteoclast differentiation factor receptor;receptor activator of NF-KB;receptor activator of NF-kappaB;tumor necrosis factor receptor superfamily member 11A;,TNR11_HUMAN,Tumor necrosis factor receptor superfamily member 11A,Osteoclast differentiation factor receptor;ODFR;Receptor activator of NF-KB;,TNR11_MOUSE,Tumor necrosis factor receptor superfamily member 11A,Osteoclast differentiation factor receptor;ODFR;Receptor activator of NF-KB;,,,,,,PR:000001954,tumor necrosis factor receptor superfamily member 11A,receptor activator of NF-KB;RANK;ODFR;TNFRSF11A;CD265;osteoclast differentiation factor receptor;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001954,603499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_239,TRAILR4,HGNC:11907,"tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain ",8793,TNFRSF10D,UNQ251/PRO288;CD264;DCR2;TRAIL-R4;TRAILR4;TRUNDD;,TNF receptor-related receptor for TRAIL;TNF-related apoptosis-inducing ligand receptor 4;TRAIL receptor 4;TRAIL receptor with a truncated death domain;decoy receptor 2;tumor necrosis factor receptor superfamily member 10D;,,,,,,,TR10D_HUMAN,Tumor necrosis factor receptor superfamily member 10D,Decoy receptor 2;DcR2;TNF-related apoptosis-inducing ligand receptor 4;TRAIL receptor 4;TRAIL-R4;TRAIL receptor with a truncated death domain;,,,,,,,,,PR:000001953,tumor necrosis factor receptor superfamily member 10D,CD264;TNF-related apoptosis-inducing ligand receptor 4;TNFRSF10D;DcR2;TRAIL-R4;TRAIL receptor with a truncated death domain;TRUNDD;TRAILR4;decoy receptor 2;TRAIL receptor 4;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001953,603614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_24,Chemokine CCL23,HGNC:10622,chemokine (C-C motif) ligand 23,6368,CCL23 ,CKb8;MIP3;Ckb-8;MIP-3;MPIF-1;SCYA23;Ckb-8-1;hmrp-2a;CK-BETA-8;,"CC motif chemokine 23;myeloid progenitor inhibitory factor 1;macrophage inflammatory protein 3;C6 betachemokine;small inducible cytokine subfamily A (CysCys), member 23;",,,,,,,CCL23_HUMAN,CCL23(30-99),CK-beta-8;CKB-8;Macrophage inflammatory protein 3;MIP-3;Myeloid progenitor inhibitory factor 1;MPIF-1;Small-inducible cytokine A23;,,,,,,,217,ccl-23;ckb-8-1;small-inducible cytokine a23;ckb8;scya23;ck(beta)-8;c-c motif chemokine 23;mpif-1;mpif1;myeloid progenitor inhibitory factor-1;human mip-related protein 2a;macrophage inflammatory protein 3;ccl23;myeloid progenitor inhibitory factor 1;ckbeta-8;mip3;ckb-8;hmrp-2a;mip-3;ck-beta-8;macrophage inflammatory protein-3;chemokine (c-c motif) ligand 23;,PR:000001995,C-C motif chemokine 23,CK-beta-8;MPIF1;macrophage inflammatory protein 3;CCL23;SCYA23;MIP3;CKB-8;small-inducible cytokine A23;MIP-3;MPIF-1;myeloid progenitor inhibitory factor 1;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001995,602494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_240,TRAILR3,HGNC:11906,"tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain",8794,TNFRSF10C,UNQ321/PRO366;CD263;DCR1;DCR1-TNFR;LIT;TRAIL-R3;TRAILR3;TRID;,TNF-related apoptosis-inducing ligand receptor 3;antagonist decoy receptor for TRAIL/Apo-2L;cytotoxic TRAIL receptor-3;decoy TRAIL receptor without death domain;decoy receptor 1;lymphocyte inhibitor of TRAIL;tumor necrosis factor receptor superfamily member 10C;,,,,,,,TR10C_HUMAN,Tumor necrosis factor receptor superfamily member 10C,Antagonist decoy receptor for TRAIL/Apo-2L;Decoy TRAIL receptor without death domain;Decoy receptor 1;DcR1;Lymphocyte inhibitor of TRAIL;TNF-related apoptosis-inducing ligand receptor 3;TRAIL receptor 3;TRAIL-R3;TRAIL receptor without an intracellular domain;,,,,,,,,,PR:000001952,tumor necrosis factor receptor superfamily member 10C,decoy TRAIL receptor without death domain;CD263;lymphocyte inhibitor of TRAIL;TRAIL-R3;TRID;decoy receptor 1;TRAIL receptor without an intracellular domain;TNFRSF10C;TRAIL receptor 3;TNF-related apoptosis-inducing ligand receptor 3;DcR1;LIT;TRAILR3;antagonist decoy receptor for TRAIL/Apo-2L;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001952,603613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_241,TRAILR2,HGNC:11905,"tumor necrosis factor receptor superfamily, member 10b",8795,TNFRSF10B,UNQ160/PRO186;CD262;DR5;KILLER;KILLER/DR5;TRAIL-R2;TRAILR2;TRICK2;TRICK2A;TRICK2B;TRICKB;ZTNFR9;,Fas-like protein;TNF receptor superfamily member 10b;TNF-related apoptosis-inducing ligand receptor 2;apoptosis inducing protein TRICK2A/2B;apoptosis inducing receptor TRAIL-R2;cytotoxic TRAIL receptor-2;death domain containing receptor for TRAIL/Apo-2L;death receptor 5;p53-regulated DNA damage-inducible cell death receptor(killer);tumor necrosis factor receptor superfamily member 10B;tumor necrosis factor receptor-like protein ZTNFR9;,MGI:1341090,"tumor necrosis factor receptor superfamily, member 10b",21933,Tnfrsf10b,DR5;KILLER;Ly98;MK;TRAILR2;TRICK2A;TRICK2B;TRICKB;,KILLER/DR5 TRAIL death-inducing receptor;death receptor 5;tumor necrosis factor receptor superfamily member 10B;,TR10B_HUMAN,Tumor necrosis factor receptor superfamily member 10B,Death receptor 5;TNF-related apoptosis-inducing ligand receptor 2;TRAIL receptor 2;TRAIL-R2;,TR10B_MOUSE,Tumor necrosis factor receptor superfamily member 10B,Death receptor 5;MK;,,,,,,PR:000002109,tumor necrosis factor receptor superfamily member 10B,TNFRSF10B;TRAIL receptor 2;TRICK2;TRAILR2;MK;KILLER;death receptor 5;ZTNFR9;TRAIL-R2;DR5;CD262;TNF-related apoptosis-inducing ligand receptor 2;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002109,603612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_242,TRAILR1,HGNC:11904,"tumor necrosis factor receptor superfamily, member 10a",8797,TNFRSF10A,APO2;CD261;DR4;TRAILR-1;TRAILR1;,TNF-related apoptosis-inducing ligand receptor 1;TRAIL receptor 1;TRAIL-R1;cytotoxic TRAIL receptor;death receptor 4;tumor necrosis factor receptor superfamily member 10A;tumor necrosis factor receptor superfamily member 10a variant 2;,,,,,,,TR10A_HUMAN,Tumor necrosis factor receptor superfamily member 10A,Death receptor 4;TNF-related apoptosis-inducing ligand receptor 1;TRAIL receptor 1;TRAIL-R1;,,,,,,,,,PR:000002108,tumor necrosis factor receptor superfamily member 10A,APO2;CD261;DR4;TNF-related apoptosis-inducing ligand receptor 1;TNFRSF10A;TRAIL receptor 1;TRAIL-R1;TRAILR1;death receptor 4,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002108,603611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_243,OSMR,HGNC:8507,oncostatin M receptor,9180,OSMR,OSMRB;PLCA1;,IL-31 receptor subunit beta;IL-31R subunit beta;IL-31R-beta;IL-31RB;interleukin-31 receptor subunit beta;oncostatin-M specific receptor beta subunit;oncostatin-M-specific receptor subunit beta;,MGI:1330819,oncostatin M receptor,18414,Osmr,OSMRB;,IL-31 receptor subunit beta;IL-31R subunit beta;IL-31R-beta;IL-31RB;interleukin-31 receptor subunit beta;oncostatin receptor;oncostatin-M specific receptor subunit beta;oncostatin-M-specific receptor subunit beta;,OSMR_HUMAN,Oncostatin-M-specific receptor subunit beta,Interleukin-31 receptor subunit beta;IL-31 receptor subunit beta;IL-31R subunit beta;IL-31R-beta;IL-31RB;,OSMR_MOUSE,Oncostatin-M-specific receptor subunit beta,Interleukin-31 receptor subunit beta;IL-31 receptor subunit beta;IL-31R subunit beta;IL-31R-beta;IL-31RB;,,,,,,PR:000012060,oncostatin-M-specific receptor subunit beta,IL-31 receptor subunit beta;OSMRB;OSMR;IL-31R subunit beta;interleukin-31 receptor subunit beta;IL-31RB;IL-31R-beta;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000012060,601743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_244,CCR9,HGNC:1610,chemokine (C-C motif) receptor 9,10803,CCR9,CC-CKR-9;CDw199;GPR-9-6;GPR28;,C-C chemokine receptor type 9;G protein-coupled receptor 28;,MGI:1341902,chemokine (C-C motif) receptor 9,12769,Ccr9,A130091K22Rik;Cmkbr10;GPR-9-6;,C-C CKR-9;C-C chemokine receptor type 9;CC-CKR-9;CCR-9;chemokine C-C receptor 10;,CCR9_HUMAN,C-C chemokine receptor type 9,C-C CKR-9;CC-CKR-9;CCR-9;G-protein coupled receptor 28;GPR-9-6;,CCR9_MOUSE,C-C chemokine receptor type 9,C-C CKR-9;CC-CKR-9;CCR-9;Chemokine C-C receptor 10;,,,,,,PR:000001205,C-C chemokine receptor type 9,CC-CKR-9;C-C CKR-9;GPR-9-6;CDw199;CCR9;GPR28;chemokine receptor CCR9;G-protein coupled receptor 28;chemokine C-C receptor 10;Cmkbr10;CMKBR9;CCR-9;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001205,604738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_245,TACI,HGNC:18153,"tumor necrosis factor receptor superfamily, member 13B",23495,TNFRSF13B,CD267;CVID;CVID2;RYZN;TACI;TNFRSF14B;,transmembrane activator and CAML interactor;tumor necrosis factor receptor 13B;tumor necrosis factor receptor superfamily member 13B;,MGI:1889411,"tumor necrosis factor receptor superfamily, member 13b",57916,Tnfrsf13b,RP23-55I2.2;1200009E08Rik;Taci;,transmembrane activator and CAML interactor;transmembrane activator and calcium-modulating and cyclophilin ligand interactor;tumor necrosis factor receptor superfamily member 13B;,TR13B_HUMAN,Tumor necrosis factor receptor superfamily member 13B,Transmembrane activator and CAML interactor;,TR13B_MOUSE,Tumor necrosis factor receptor superfamily member 13B,Transmembrane activator and CAML interactor;,,,,,,PR:000001956,tumor necrosis factor receptor superfamily member 13B,TNFRSF13B;TACI;CD267;transmembrane activator and CAML interactor;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001956,604907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_246,CDw217,HGNC:5985,interleukin 17 receptor A,23765,IL17RA,CANDF5;CD217;CDw217;IL-17RA;IL17R;hIL-17R;,IL-17 receptor A;interleukin-17 receptor A;,MGI:107399,interleukin 17 receptor A,16172,Il17ra,AW538159;Cdw217;Il17r;VDw217;,IL-17 receptor A;IL-17RA;interleukin-17 receptor A;,I17RA_HUMAN,Interleukin-17 receptor A,IL-17 receptor A;IL-17RA;CDw217;,I17RA_MOUSE,Interleukin-17 receptor A,IL-17 receptor A;IL-17RA;,,,,,,PR:000001375,interleukin-17 receptor A,IL-17RA;IL-17 receptor A;IL17RA;CD217;CDw217;IL17R;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001375,605461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_247,IL-20Ra,HGNC:6003,"interleukin 20 receptor, alpha",53832,IL20RA,RP11-204P2.1;CRF2-8;IL-20R-alpha;IL-20R1;IL-20RA;,class II cytokine receptor ZCYTOR7;cytokine receptor family 2 member 8;interleukin-20 receptor I;interleukin-20 receptor subunit alpha;,MGI:3605069,"interleukin 20 receptor, alpha",237313,Il20ra,E230031K19;,IL-20 receptor subunit alpha;IL-20R-alpha;IL-20R1;IL-20RA;interleukin-20 receptor subunit alpha;,I20RA_HUMAN,Interleukin-20 receptor subunit alpha,IL-20 receptor subunit alpha;IL-20R-alpha;IL-20RA;Cytokine receptor class-II member 8;Cytokine receptor family 2 member 8;CRF2-8;IL-20R1;ZcytoR7;,I20RA_MOUSE,Interleukin-20 receptor subunit alpha,IL-20 receptor subunit alpha;IL-20R-alpha;IL-20RA;IL-20R1;,,,,,,PR:000008996,interleukin-20 receptor subunit alpha,CRF2-8;IL-20 receptor subunit alpha;IL-20R-alpha;IL-20R1;IL-20RA;IL20RA;ZcytoR7;cytokine receptor class-II member 8;cytokine receptor family 2 member 8;interleukin-20 receptor alpha chain;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008996,605620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_248,IL-20Rb,HGNC:6004,interleukin 20 receptor beta,53833,IL20RB,hCG_2022374;DIRS1;FNDC6;IL-20R2;,IL-20 receptor subunit beta;IL-20R-beta;IL-20RB;fibronectin type III domain containing 6;interleukin-20 receptor II;interleukin-20 receptor subunit beta;,MGI:2143266,interleukin 20 receptor beta,213208,Il20rb,AV228068;Fndc6;Gm186;Il20R2;,fibronectin type III domain containing 6;,I20RB_HUMAN,Interleukin-20 receptor subunit beta,IL-20 receptor subunit beta;IL-20R-beta;IL-20RB;Fibronectin type III domain containing 6;FNDC6;IL-20R2;,E9Q9A6_MOUSE,,,,,,,,PR:000008997,interleukin-20 receptor subunit beta,DIRS1;IL-20 receptor subunit beta;IL-20R-beta;IL-20R2;IL-20RB;IL20RB;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008997,605621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_249,CCR2,HGNC:1603,chemokine (C-C motif) receptor 2,729230,CCR2,hCG_14621;CC-CKR-2;CCR-2A;CCR2B;CD192;CKR2;CKR2A;CKR2B;CMKBR2;MCP-1-R;CCR2;,C-C chemokine receptor type 2;MCP-1 receptor;monocyte chemoattractant protein 1 receptor;monocyte chemotactic protein 1 receptor;,MGI:106185,chemokine (C-C motif) receptor 2,12772,Ccr2,Cc-ckr-2a;Ccr2b;Ckr2;Ckr2a;Ckr2b;Cmkbr2;mJe-r;Ccr2;,C-C CHEMOKINE RECEPTOR TYPE 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (JE/FIC RECEPTOR) (MCP-1 RECEPTOR);C-C CKR-2;C-C chemokine receptor type 2;CCR-2;JE/FIC receptor;MCP-1 receptor;MIP-1 alphaR;chemoattractant protein-1 receptor;chemokine (C-C) receptor 2;,CCR2_HUMAN,C-C chemokine receptor type 2,C-C CKR-2;CC-CKR-2;CCR-2;CCR2;Monocyte chemoattractant protein 1 receptor;MCP-1-R;,CCR2_MOUSE,C-C chemokine receptor type 2,C-C CKR-2;CC-CKR-2;CCR-2;CCR2;JE/FIC receptor;MCP-1 receptor;,,,,,,PR:000001199,C-C chemokine receptor type 2,C-C CKR-2;CC-CKR-2;CCR-2;MCP-1-R;JE/FIC receptor;monocyte chemoattractant protein 1 receptor;CCR2;chemokine receptor CCR2;CMKBR2;MCP-1 receptor;CD192;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001199,601267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_25,Chemokine CCL24,HGNC:10623,chemokine (C-C motif) ligand 24,6369,CCL24 ,Ckb-6;MPIF2;MPIF-2;SCYA24;,"small inducible cytokine subfamily A (CysCys), member 24;myeloid progenitor inhibitory factor 2;CC motif chemokine 24;eosinophil chemotactic protein 2;CKbeta6;eotaxin2;smallinducible cytokine A24;",MGI:1928953,chemokine (C-C motif) ligand 24,56221,Ccl24 ,CKb-6;MPIF-2;Scya24;,CC motif chemokine 24;eosinophil chemotactic protein 2;small inducible cytokine A24;CC chemokine CCL24;eotaxin2;smallinducible cytokine A24;,CCL24_HUMAN,C-C motif chemokine 24,CK-beta-6;Eosinophil chemotactic protein 2;Eotaxin-2;Myeloid progenitor inhibitory factor 2;MPIF-2;Small-inducible cytokine A24;,CCL24_MOUSE,C-C motif chemokine 24,Eosinophil chemotactic protein 2;Eotaxin-2;Small-inducible cytokine A24;,D054423,Chemokine CCL24,C-C motif chemokine 24;CCL24;Chemokine CCL24;,223,Chemokine_CCL24;ccl-24;ck-beta-6;scya24;c-c motif chemokine 24;ckb6;myeloid progenitor inhibitory factor-2;mpif-2;mpif2;eosinophil chemotactic protein 2;ccl24;eotaxin-2;ckbeta-6;myeloid progenitor inhibitory factor 2;small-inducible cytokine a24;ckb-6;chemokine (c-c motif) ligand 24;eotaxin 2;,PR:000001996,C-C motif chemokine 24,CCL24;CK-beta-6;MPIF-2;MPIF2;SCYA24;eosinophil chemotactic protein 2;eotaxin-2;myeloid progenitor inhibitory factor 2;small-inducible cytokine A24;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001996,602495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_250,CXCR7,HGNC:23692,atypical chemokine receptor 3,57007,ACKR3,CMKOR1;CXC-R7;CXCR-7;CXCR7;GPR159;RDC-1;RDC1;,C-X-C chemokine receptor type 7;G protein-coupled receptor;G-protein coupled receptor 159;G-protein coupled receptor RDC1 homolog;chemokine (C-X-C motif) receptor 7;chemokine orphan receptor 1;,MGI:109562,atypical chemokine receptor 3,12778,Ackr3,AW541270;CXC-R7;CXCR-7;Cmkor1;Cxcr7;RDC-1;Rdc1;,C-X-C chemokine receptor type 7;G-protein coupled receptor RDC1 homolog;chemokine (C-X-C motif) receptor 7;chemokine orphan receptor 1;,ACKR3_HUMAN,Atypical chemokine receptor 3,C-X-C chemokine receptor type 7;CXC-R7;CXCR-7;Chemokine orphan receptor 1;G-protein coupled receptor 159;G-protein coupled receptor RDC1 homolog;RDC-1;,ACKR3_MOUSE,Atypical chemokine receptor 3,C-X-C chemokine receptor type 7;CXC-R7;CXCR-7;Chemokine orphan receptor 1;G-protein coupled receptor RDC1 homolog;RDC-1;,,,,,,PR:000001211,chemokine receptor CXCR7,CXCR-7;CMKOR1;RDC-1;CXCR7;chemokine orphan receptor 1;GPR159;ACKR3;CXC-R7;RDC1;G-protein coupled receptor RDC1 homolog;G-protein coupled receptor 159;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001211,610376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_251,CXCR6,HGNC:16647,chemokine (C-X-C motif) receptor 6,10663,CXCR6,BONZO;CD186;STRL33;TYMSTR;,C-X-C chemokine receptor type 6;CDw186;CXC-R6;CXCR-6;G protein-coupled receptor;G-protein coupled receptor STRL33;G-protein coupled receptor bonzo;,MGI:1934582,chemokine (C-X-C motif) receptor 6,80901,Cxcr6,BB217514;BONZO;STRL33;,C-X-C chemokine receptor type 6;CXC-R6;CXCR-6;,CXCR6_HUMAN,C-X-C chemokine receptor type 6,CXC-R6;CXCR-6;CDw186;G-protein coupled receptor STRL33;G-protein coupled receptor bonzo;,CXCR6_MOUSE,C-X-C chemokine receptor type 6,CXC-R6;CXCR-6;,,,,,,PR:000001210,C-X-C chemokine receptor type 6,CDw186;CXCR6;TYMSTR;STRL33;G-protein coupled receptor STRL33;BONZO;CXC-R6;CXCR-6;CD186;chemokine receptor CXCR6;G-protein coupled receptor bonzo;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001210,605163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_252,IL11RA,HGNC:5967,"interleukin 11 receptor, alpha",3590,IL11RA,hCG_2011440;CRSDA;,IL-11 receptor subunit alpha;IL-11R subunit alpha;interleukin-11 receptor alpha chain;interleukin-11 receptor subunit alpha;,MGI:107426,"interleukin 11 receptor, alpha chain 1",16157,Il11ra1,RP23-167I12.2;AI314697;GP130;Il-11ra;Il11ra;Il11ra2;NR1;,"IL-11 receptor subunit alpha-1;IL-11R subunit alpha-1;IL-11R-alpha-1;IL-11RA1;Il-11ra-alpha;NR-1;enhancer trap locus homolog 2;etl-2;interleukin 11 receptor, alpha chain 2;interleukin-11 receptor subunit alpha-1;locus 2;novel cytokine receptor 1;",I11RA_HUMAN,Interleukin-11 receptor subunit alpha,IL-11 receptor subunit alpha;IL-11R subunit alpha;IL-11R-alpha;IL-11RA;,I11RA_MOUSE,Interleukin-11 receptor subunit alpha-1,IL-11 receptor subunit alpha-1;IL-11R subunit alpha-1;IL-11R-alpha-1;IL-11RA1;Enhancer trap locus homolog 2;Etl-2;Novel cytokine receptor 1;NR-1;NR1;,,,,,,PR:000031108,interleukin-11 receptor subunit alpha,IL-11 receptor subunit alpha;IL-11R-alpha;IL11RA;IL-11R subunit alpha;IL-11RA;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000031108,600939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
